Ngày,MG95_raw,MG92_raw,DO 0.001%_raw,DO 0.05%_raw,MG95_cal,MG92_cal,DO 0.001%_cal,DO 0.05%_cal,MG95,MG92,DO 0.001%,DO 0.05%,train_last_date,generated_at,run_seed_base
13/11/2025 12:00:00 AM,83.84608459472656,81.48611450195312,98.48816680908203,96.48371887207031,81.04069519042969,79.33367919921875,87.94141387939453,89.01356506347656,83.79,81.48,97.504295,96.48,12/11/2025 12:00:00 AM,11/04/2026 02:34:02 PM,1462936328
14/11/2025 12:00:00 AM,83.83612823486328,81.50279998779297,97.59419250488281,96.5583724975586,81.03775787353516,79.3414306640625,87.92666625976562,89.03189849853516,83.79,81.48,96.64217,96.48,12/11/2025 12:00:00 AM,11/04/2026 02:34:02 PM,1462936328
17/11/2025 12:00:00 AM,83.82267761230469,81.50069427490234,96.69778442382812,96.48817443847656,81.03378295898438,79.3404541015625,87.91188049316406,89.01465606689453,83.79,81.48,95.8563,96.48,12/11/2025 12:00:00 AM,11/04/2026 02:34:02 PM,1462936328
18/11/2025 12:00:00 AM,83.90339660644531,81.48759460449219,95.79596710205078,96.49388885498047,81.05760955810547,79.33436584472656,87.89700317382812,89.01605987548828,83.79,81.48,95.140114,96.48,12/11/2025 12:00:00 AM,11/04/2026 02:34:02 PM,1462936328
19/11/2025 12:00:00 AM,83.83086395263672,81.58480072021484,95.2744140625,96.61723327636719,81.03620147705078,79.3795394897461,87.8884048461914,89.04634857177734,83.79,81.48,94.4873,96.48,12/11/2025 12:00:00 AM,11/04/2026 02:34:02 PM,1462936328
