Ngày,MG95_raw,MG95_cal,MG95,MG92_raw,MG92_cal,MG92,DO 0.001%_raw,DO 0.001%_cal,DO 0.001%,DO 0.05%_raw,DO 0.05%_cal,DO 0.05%,train_last_date,generated_at,run_seed_base
29/09/2025 12:00:00 AM,85.58,83.77,83.77,81.16,80.67,80.67,93.25,87.69,87.69,92.9,88.96,88.96,26/09/2025 12:00:00 AM,12/04/2026 08:01:10 AM,117048889
30/09/2025 12:00:00 AM,85.45,83.68,83.68,81.38,80.8,80.8,93.08,87.69,87.69,91.53,88.18,88.18,26/09/2025 12:00:00 AM,12/04/2026 08:01:10 AM,117048889
01/10/2025 12:00:00 AM,84.39,82.99,82.99,81.12,80.64,80.64,92.85,87.68,87.68,91.96,88.43,88.43,26/09/2025 12:00:00 AM,12/04/2026 08:01:10 AM,117048889
02/10/2025 12:00:00 AM,86.02,84.05,84.05,82.3,81.4,81.4,94.58,87.72,87.72,93.35,89.22,89.22,26/09/2025 12:00:00 AM,12/04/2026 08:01:10 AM,117048889
03/10/2025 12:00:00 AM,87.95,85.31,85.31,84.33,82.69,82.69,96.42,87.76,87.76,94.73,90.0,90.0,26/09/2025 12:00:00 AM,12/04/2026 08:01:10 AM,117048889
