Ngày,MG95_raw,MG92_raw,DO 0.001%_raw,DO 0.05%_raw,MG95_cal,MG92_cal,DO 0.001%_cal,DO 0.05%_cal,MG95,MG92,DO 0.001%,DO 0.05%,train_last_date,generated_at,run_seed_base
29/09/2025 12:00:00 AM,81.95783233642578,80.1704330444336,92.629638671875,91.67367553710938,81.95783233642578,80.1704330444336,92.629638671875,91.67367553710938,81.95722,80.15,92.580345,91.69973,26/09/2025 12:00:00 AM,11/04/2026 10:28:14 AM,1597775775
30/09/2025 12:00:00 AM,81.99754333496094,80.18748474121094,92.59119415283203,91.72467041015625,81.99754333496094,80.18748474121094,92.59119415283203,91.72467041015625,81.95236,80.15,92.59137,91.700676,26/09/2025 12:00:00 AM,11/04/2026 10:28:14 AM,1597775775
01/10/2025 12:00:00 AM,82.05169677734375,80.24696350097656,92.64466094970703,91.80712890625,82.05169677734375,80.24696350097656,92.64466094970703,91.80712890625,81.9745,80.15,92.597694,91.71649,26/09/2025 12:00:00 AM,11/04/2026 10:28:14 AM,1597775775
02/10/2025 12:00:00 AM,82.09425354003906,80.12225341796875,92.59465026855469,91.77725982666016,82.09425354003906,80.12225341796875,92.59465026855469,91.77725982666016,82.03212,80.15,92.59555,91.72251,26/09/2025 12:00:00 AM,11/04/2026 10:28:14 AM,1597775775
03/10/2025 12:00:00 AM,82.17027282714844,80.14649963378906,92.54149627685547,91.74822998046875,82.17027282714844,80.14649963378906,92.54149627685547,91.74822998046875,82.14523,80.15,92.58878,91.73083,26/09/2025 12:00:00 AM,11/04/2026 10:28:14 AM,1597775775
