Ngày,MG95,MG92,DO 0.001%,DO 0.05%,MG95_raw,MG92_raw,DO 0.001%_raw,DO 0.05%_raw,train_last_date,generated_at,run_seed_base
15/12/2025 12:00:00 AM,79.54863,78.61437,83.469086,86.645905,79.303024,76.52171,83.07078,82.28593,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
16/12/2025 12:00:00 AM,79.57039,78.61597,83.71699,86.57329,79.40349,76.50411,83.30057,82.0243,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
17/12/2025 12:00:00 AM,79.51304,78.6009,83.084076,86.49091,79.13873,76.67025,82.71389,81.72752,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
18/12/2025 12:00:00 AM,79.48315,78.6108,84.18636,86.451004,79.00072,76.56108,83.73566,81.58374,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
19/12/2025 12:00:00 AM,79.66853,78.590576,84.21262,86.75395,79.8566,76.78409,83.76,82.67522,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
22/12/2025 12:00:00 AM,79.68552,78.63465,84.19252,86.716125,79.93498,76.298164,83.74136,82.53893,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
23/12/2025 12:00:00 AM,79.59122,78.56323,83.5352,86.51342,79.49963,77.085464,83.132065,81.80861,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
24/12/2025 12:00:00 AM,79.71325,78.60749,83.93953,86.662834,80.06303,76.59757,83.50685,82.34694,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
25/12/2025 12:00:00 AM,79.594666,78.59061,83.78039,86.54484,79.51557,76.78368,83.35934,81.921814,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
26/12/2025 12:00:00 AM,79.60556,78.5463,83.20496,86.65901,79.56586,77.272156,82.82594,82.333145,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
29/12/2025 12:00:00 AM,79.438034,78.57363,84.138626,86.5741,78.792465,76.97088,83.69141,82.02724,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
30/12/2025 12:00:00 AM,79.59137,78.52485,83.951164,86.54786,79.50036,77.508675,83.51764,81.93269,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
31/12/2025 12:00:00 AM,79.69059,78.54777,83.935425,86.67134,79.958405,77.25596,83.50305,82.37759,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
01/01/2026 12:00:00 AM,79.66962,78.58625,83.303276,86.389534,79.86159,76.831726,82.917076,81.36227,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
