Ngày,MG95,MG92,DO 0.001%,DO 0.05%,MG95_raw,MG92_raw,DO 0.001%_raw,DO 0.05%_raw,train_last_date,generated_at,run_seed_base
02/01/2026 12:00:00 AM,79.57267,78.60838,83.03465,86.50869,79.41403,76.58774,82.668076,81.791565,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
05/01/2026 12:00:00 AM,79.62645,78.60123,83.3697,86.43766,79.66228,76.666626,82.978645,81.53565,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
06/01/2026 12:00:00 AM,79.55742,78.604614,82.83,86.39719,79.34361,76.629265,82.47837,81.38983,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
07/01/2026 12:00:00 AM,79.496544,78.60224,83.50984,86.39412,79.06258,76.65546,83.10855,81.3788,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
08/01/2026 12:00:00 AM,79.66582,78.57095,83.68232,86.5808,79.84405,77.00036,83.26843,82.05138,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
09/01/2026 12:00:00 AM,79.67354,78.63477,83.86058,86.60084,79.87968,76.29679,83.43367,82.12357,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
12/01/2026 12:00:00 AM,79.60134,78.56958,83.19009,86.42689,79.54639,77.01551,82.81216,81.49686,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
13/01/2026 12:00:00 AM,79.71897,78.59315,83.496895,86.5018,80.08943,76.75569,83.09655,81.76673,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
14/01/2026 12:00:00 AM,79.57546,78.610275,83.46014,86.51944,79.4269,76.56688,83.06248,81.83031,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
15/01/2026 12:00:00 AM,79.62917,78.55001,83.068214,86.56821,79.67488,77.23124,82.69919,82.006004,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
16/01/2026 12:00:00 AM,79.46912,78.56325,83.47444,86.48723,78.93597,77.08535,83.07574,81.71424,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
19/01/2026 12:00:00 AM,79.64284,78.5324,83.44464,86.491684,79.73797,77.425354,83.04812,81.73031,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
20/01/2026 12:00:00 AM,79.629,78.5429,83.37841,86.55142,79.67406,77.309654,82.986725,81.94553,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
21/01/2026 12:00:00 AM,79.688835,78.588425,83.04407,86.36154,79.9503,76.807785,82.6768,81.2614,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
22/01/2026 12:00:00 AM,79.5813,78.60909,82.8188,86.42934,79.453835,76.579895,82.467995,81.505684,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
23/01/2026 12:00:00 AM,79.63634,78.59503,83.05527,86.3575,79.70795,76.73492,82.68719,81.24683,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
26/01/2026 12:00:00 AM,79.577225,78.603676,82.53948,86.32576,79.43507,76.63967,82.209076,81.13249,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
27/01/2026 12:00:00 AM,79.51825,78.596115,83.148964,86.33014,79.1628,76.72302,82.77404,81.14827,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
28/01/2026 12:00:00 AM,79.67455,78.561134,83.27035,86.484146,79.88437,77.10861,82.88655,81.70314,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
29/01/2026 12:00:00 AM,79.64468,78.64207,83.435684,86.497505,79.74645,76.216446,83.03981,81.75127,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
30/01/2026 12:00:00 AM,79.604805,78.575714,82.88888,86.394035,79.562386,76.94791,82.53295,81.37849,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
02/02/2026 12:00:00 AM,79.73853,78.58834,83.202156,86.445496,80.17973,76.80871,82.82334,81.5639,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
03/02/2026 12:00:00 AM,79.5549,78.61223,83.13418,86.45384,79.332,76.5454,82.76033,81.59396,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
04/02/2026 12:00:00 AM,79.63617,78.55751,82.92404,86.50272,79.70718,77.14855,82.565544,81.77008,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
05/02/2026 12:00:00 AM,79.46079,78.56013,83.19192,86.41053,78.89752,77.11973,82.81385,81.43792,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
06/02/2026 12:00:00 AM,79.63876,78.53,83.15092,86.409515,79.71915,77.451866,82.77585,81.434265,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
09/02/2026 12:00:00 AM,79.603134,78.54994,83.05716,86.46129,79.55464,77.232025,82.68894,81.6208,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
10/02/2026 12:00:00 AM,79.67185,78.59231,82.88208,86.30971,79.871895,76.76496,82.52665,81.07466,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
11/02/2026 12:00:00 AM,79.585655,78.59912,82.59307,86.34149,79.47396,76.689896,82.25875,81.18917,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
12/02/2026 12:00:00 AM,79.64146,78.58921,82.72499,86.29496,79.73158,76.799126,82.381035,81.02154,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
13/02/2026 12:00:00 AM,79.578865,78.59363,82.401375,86.26749,79.44262,76.75039,82.081055,80.92254,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
16/02/2026 12:00:00 AM,79.5652,78.58581,82.78702,86.23714,79.379524,76.83664,82.43853,80.81321,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
17/02/2026 12:00:00 AM,79.70163,78.55334,83.01993,86.41609,80.00938,77.19457,82.65443,81.45795,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
18/02/2026 12:00:00 AM,79.64005,78.62496,83.09807,86.42523,79.725105,76.40496,82.72686,81.4909,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
19/02/2026 12:00:00 AM,79.61844,78.58406,82.7139,86.3599,79.625305,76.85584,82.37075,81.2555,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
20/02/2026 12:00:00 AM,79.74463,78.59002,83.0432,86.372536,80.20789,76.79018,82.675995,81.301025,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
23/02/2026 12:00:00 AM,79.5744,78.5936,83.019966,86.397766,79.422035,76.75077,82.654465,81.39194,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
24/02/2026 12:00:00 AM,79.63579,78.56314,82.651855,86.43328,79.70543,77.0865,82.31324,81.519875,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
25/02/2026 12:00:00 AM,79.463295,78.5553,82.97997,86.327065,78.90907,77.17293,82.61739,81.13719,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
26/02/2026 12:00:00 AM,79.65116,78.538445,82.96133,86.33121,79.77639,77.358765,82.600105,81.15213,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
27/02/2026 12:00:00 AM,79.604164,78.55527,82.81162,86.38679,79.55942,77.1733,82.461334,81.35237,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
02/03/2026 12:00:00 AM,79.710396,78.58162,82.70633,86.2867,80.049835,76.8828,82.36374,80.991745,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
03/03/2026 12:00:00 AM,79.61345,78.58191,82.46804,86.28716,79.602264,76.87958,82.14285,80.99344,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
04/03/2026 12:00:00 AM,79.67752,78.573204,82.561935,86.2662,79.89808,76.97553,82.22989,80.91789,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
05/03/2026 12:00:00 AM,79.60596,78.575874,82.32957,86.23086,79.5677,76.946106,82.014496,80.79057,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
06/03/2026 12:00:00 AM,79.61142,78.564095,82.56392,86.20201,79.592926,77.07601,82.23173,80.68666,12/12/2025 12:00:00 AM,24/02/2026 06:16:51 PM,2047412500
