Ngày,MG95,MG92,DO 0.001%,DO 0.05%,MG95_raw,MG92_raw,DO 0.001%_raw,DO 0.05%_raw,train_last_date,generated_at,run_seed_base
23/02/2026 12:00:00 AM,79.005005,76.454056,90.43146,89.44118,80.42872,77.330475,92.879234,91.74349,20/02/2026 12:00:00 AM,21/02/2026 05:17:09 PM,591041392
24/02/2026 12:00:00 AM,79.25298,76.60105,90.22345,89.34456,80.72112,77.49529,92.58408,91.59286,20/02/2026 12:00:00 AM,21/02/2026 05:17:09 PM,591041392
25/02/2026 12:00:00 AM,79.34754,77.12935,90.74509,89.5818,80.83262,78.08764,93.32423,91.962746,20/02/2026 12:00:00 AM,21/02/2026 05:17:09 PM,591041392
26/02/2026 12:00:00 AM,79.65993,77.10501,90.79619,89.01289,81.20097,78.060356,93.39675,91.075745,20/02/2026 12:00:00 AM,21/02/2026 05:17:09 PM,591041392
27/02/2026 12:00:00 AM,80.10854,77.19724,90.19902,89.07306,81.729965,78.163765,92.54942,91.16954,20/02/2026 12:00:00 AM,21/02/2026 05:17:09 PM,591041392
