Ngày,MG95,MG92,DO 0.001%,DO 0.05%,train_last_date,generated_at,run_seed_base
06/10/2025 12:00:00 AM,78.141685,75.32444,88.79883,86.02235,03/10/2025 12:00:00 AM,22/01/2026 11:43:22 AM,225931692
07/10/2025 12:00:00 AM,77.71944,75.143364,88.62018,86.73562,03/10/2025 12:00:00 AM,22/01/2026 11:43:22 AM,225931692
08/10/2025 12:00:00 AM,78.13763,75.24703,88.34621,86.549225,03/10/2025 12:00:00 AM,22/01/2026 11:43:22 AM,225931692
09/10/2025 12:00:00 AM,77.40113,74.84096,88.318985,86.44637,03/10/2025 12:00:00 AM,22/01/2026 11:43:22 AM,225931692
10/10/2025 12:00:00 AM,78.255806,75.24175,88.053825,86.90091,03/10/2025 12:00:00 AM,22/01/2026 11:43:22 AM,225931692
