Ngày,MG95,MG92,DO 0.001%,DO 0.05%,MG95_raw,MG92_raw,DO 0.001%_raw,DO 0.05%_raw,train_last_date,generated_at,run_seed_base
23/01/2026 12:00:00 AM,72.8649,70.99023,84.8891,83.90232,74.60591,71.98482,85.725945,84.09603,22/01/2026 12:00:00 AM,30/01/2026 12:22:42 PM,88451017
26/01/2026 12:00:00 AM,72.43478,70.63017,84.75758,83.809845,74.19704,71.627655,85.54638,83.95866,22/01/2026 12:00:00 AM,30/01/2026 12:22:42 PM,88451017
27/01/2026 12:00:00 AM,72.79209,70.71897,84.74136,83.90501,74.5367,71.71574,85.52423,84.10002,22/01/2026 12:00:00 AM,30/01/2026 12:22:42 PM,88451017
28/01/2026 12:00:00 AM,72.74339,70.44273,85.009,83.91676,74.49041,71.44172,85.88965,84.117485,22/01/2026 12:00:00 AM,30/01/2026 12:22:42 PM,88451017
29/01/2026 12:00:00 AM,72.50616,70.7677,84.61706,83.89319,74.26489,71.76408,85.354515,84.08246,22/01/2026 12:00:00 AM,30/01/2026 12:22:42 PM,88451017
