Ngày,MG95,MG92,DO 0.001%,DO 0.05%,train_last_date,generated_at,run_seed_base
29/09/2025 12:00:00 AM,83.14365,80.40135,92.80643,91.44745,26/09/2025 12:00:00 AM,22/01/2026 11:40:59 AM,2101846774
30/09/2025 12:00:00 AM,83.08729,80.39115,92.44865,90.80373,26/09/2025 12:00:00 AM,22/01/2026 11:40:59 AM,2101846774
01/10/2025 12:00:00 AM,82.891495,80.51697,92.43731,91.028786,26/09/2025 12:00:00 AM,22/01/2026 11:40:59 AM,2101846774
02/10/2025 12:00:00 AM,83.261536,80.3265,92.66897,91.08135,26/09/2025 12:00:00 AM,22/01/2026 11:40:59 AM,2101846774
03/10/2025 12:00:00 AM,83.27866,80.39705,92.72453,90.91545,26/09/2025 12:00:00 AM,22/01/2026 11:40:59 AM,2101846774
