Ngày,MG95,MG92,DO 0.001%,DO 0.05%,MG95_raw,MG92_raw,DO 0.001%_raw,DO 0.05%_raw,train_last_date,generated_at,run_seed_base
06/02/2026 12:00:00 AM,75.105156,72.75595,87.25071,86.57182,75.77375,73.16541,88.29282,87.18178,05/02/2026 12:00:00 AM,23/02/2026 01:36:26 PM,1910439266
09/02/2026 12:00:00 AM,75.154945,72.8514,87.37375,86.55085,75.833244,73.27294,88.46769,87.14901,05/02/2026 12:00:00 AM,23/02/2026 01:36:26 PM,1910439266
10/02/2026 12:00:00 AM,75.26941,72.86485,87.35999,86.53937,75.97002,73.2881,88.448135,87.13107,05/02/2026 12:00:00 AM,23/02/2026 01:36:26 PM,1910439266
11/02/2026 12:00:00 AM,75.40761,73.18513,87.37622,86.41272,76.13514,73.6489,88.4712,86.93323,05/02/2026 12:00:00 AM,23/02/2026 01:36:26 PM,1910439266
12/02/2026 12:00:00 AM,75.20799,72.76411,87.11552,86.13486,75.89663,73.1746,88.10069,86.49916,05/02/2026 12:00:00 AM,23/02/2026 01:36:26 PM,1910439266
