Ngày,MG95,MG92,DO 0.001%,DO 0.05%,MG95_raw,MG92_raw,DO 0.001%_raw,DO 0.05%_raw,train_last_date,generated_at,run_seed_base
23/02/2026 12:00:00 AM,79.1928,76.817116,91.16528,89.47447,80.65016,77.73755,93.920456,91.7954,20/02/2026 12:00:00 AM,21/02/2026 05:14:00 PM,257875425
24/02/2026 12:00:00 AM,79.43888,77.10642,90.861115,89.67067,80.94032,78.061935,93.48886,92.1013,20/02/2026 12:00:00 AM,21/02/2026 05:14:00 PM,257875425
25/02/2026 12:00:00 AM,79.594505,76.47124,90.609985,89.670265,81.12383,77.34974,93.132545,92.10067,20/02/2026 12:00:00 AM,21/02/2026 05:14:00 PM,257875425
26/02/2026 12:00:00 AM,79.90844,77.064224,90.52777,89.407555,81.494,78.014626,93.01589,91.69107,20/02/2026 12:00:00 AM,21/02/2026 05:14:00 PM,257875425
27/02/2026 12:00:00 AM,79.51734,77.17822,90.48393,89.00581,81.03284,78.14244,92.95369,91.0647,20/02/2026 12:00:00 AM,21/02/2026 05:14:00 PM,257875425
