Ngày,MG95,MG92,DO 0.001%,DO 0.05%,MG95_raw,MG92_raw,DO 0.001%_raw,DO 0.05%_raw,train_last_date,generated_at,run_seed_base
19/03/2026 12:00:00 AM,125.73773,122.297165,149.36688,139.6663,134.98312,128.51517,173.29855,166.37686,18/03/2026 12:00:00 AM,30/03/2026 11:34:45 AM,20260320
20/03/2026 12:00:00 AM,113.89973,113.2748,130.4928,126.792786,121.16694,118.44295,147.39522,147.11479,18/03/2026 12:00:00 AM,30/03/2026 11:34:45 AM,20260320
23/03/2026 12:00:00 AM,123.32389,119.61722,140.8013,134.57727,132.16592,125.52338,161.54291,158.76236,18/03/2026 12:00:00 AM,30/03/2026 11:34:45 AM,20260320
24/03/2026 12:00:00 AM,114.925835,114.223976,132.13528,127.123085,122.36452,119.50256,149.64943,147.60901,18/03/2026 12:00:00 AM,30/03/2026 11:34:45 AM,20260320
25/03/2026 12:00:00 AM,120.98257,117.91214,138.85861,131.4399,129.43335,123.61989,158.87671,154.06805,18/03/2026 12:00:00 AM,30/03/2026 11:34:45 AM,20260320
