Ngày,MG95,MG92,DO 0.001%,DO 0.05%,MG95_raw,MG92_raw,DO 0.001%_raw,DO 0.05%_raw,train_last_date,generated_at,run_seed_base
23/01/2026 12:00:00 AM,73.54113,71.626495,84.67047,84.11427,75.24873,72.61597,85.427444,84.41088,22/01/2026 12:00:00 AM,23/01/2026 11:23:33 AM,1738430795
26/01/2026 12:00:00 AM,72.92084,71.811554,84.61546,84.12164,74.65909,72.79954,85.35233,84.42184,22/01/2026 12:00:00 AM,23/01/2026 11:23:33 AM,1738430795
27/01/2026 12:00:00 AM,74.23993,71.902306,85.52504,83.7621,75.91301,72.889565,86.594215,83.88774,22/01/2026 12:00:00 AM,23/01/2026 11:23:33 AM,1738430795
28/01/2026 12:00:00 AM,73.81623,71.87538,84.68394,84.20099,75.51024,72.862854,85.44583,84.53971,22/01/2026 12:00:00 AM,23/01/2026 11:23:33 AM,1738430795
29/01/2026 12:00:00 AM,73.53761,71.52011,84.84725,84.19964,75.24539,72.51044,85.66881,84.5377,22/01/2026 12:00:00 AM,23/01/2026 11:23:33 AM,1738430795
