date,target,step,pred,actual,base_date,horizon,alpha,created_at,run_id,abs_err,mape_%
2025-09-22,MG95,1,80.577774,,2025-09-19,5,0.9900000095367432,2026-03-01 17:24:00,2372bd57,,
2025-09-23,MG95,2,80.79363,,2025-09-19,5,0.9900000095367432,2026-03-01 17:24:00,2372bd57,,
2025-09-24,MG95,3,80.15067,,2025-09-19,5,0.9900000095367432,2026-03-01 17:24:00,2372bd57,,
2025-09-25,MG95,4,80.15067,,2025-09-19,5,0.9900000095367432,2026-03-01 17:24:00,2372bd57,,
2025-09-26,MG95,5,80.15067,,2025-09-19,5,0.9900000095367432,2026-03-01 17:24:00,2372bd57,,
