📊 Cấu hình: SEQ_LEN = 15, Số Features = 13
----------------------------------------------------------------------------------------------------------------------------------
VÒNG   | MAPE(%)  | MSE      | R2       | RMSE     | GATING (CNN/GRU/KAN) | EPOCH
67/100 | 1.22     | 0.89     | 0.950    | 0.94     | 0.71/0.25/0.04 | 46
68/100 | 1.76     | 2.00     | 0.918    | 1.41     | 0.75/0.23/0.02 | 42
69/100 | 1.97     | 3.07     | 0.872    | 1.75     | 0.53/0.39/0.09 | 74
70/100 | 0.60     | 0.32     | 0.988    | 0.57     | 0.51/0.45/0.04 | 74
71/100 | 1.45     | 1.81     | 0.939    | 1.34     | 0.52/0.32/0.16 | 46
72/100 | 1.19     | 1.06     | 0.964    | 1.03     | 0.64/0.27/0.09 | 45
73/100 | 2.27     | 4.22     | 0.870    | 2.06     | 0.99/0.01/0.00 | 37
74/100 | 1.90     | 3.45     | 0.911    | 1.86     | 0.76/0.19/0.05 | 82
75/100 | 1.00     | 0.67     | 0.982    | 0.82     | 0.59/0.28/0.13 | 43
76/100 | 1.35     | 2.28     | 0.947    | 1.51     | 0.70/0.21/0.09 | 55
77/100 | 2.41     | 3.87     | 0.906    | 1.97     | 0.95/0.03/0.02 | 47
78/100 | 1.78     | 4.04     | 0.908    | 2.01     | 0.60/0.29/0.12 | 45
79/100 | 1.09     | 1.16     | 0.976    | 1.07     | 0.62/0.28/0.10 | 85
80/100 | 1.77     | 2.90     | 0.944    | 1.70     | 0.66/0.26/0.08 | 67
81/100 | 4.03     | 11.12    | 0.811    | 3.34     | 0.70/0.23/0.06 | 61
82/100 | 1.66     | 2.92     | 0.943    | 1.71     | 0.77/0.15/0.08 | 45
83/100 | 2.88     | 6.18     | 0.873    | 2.49     | 0.49/0.47/0.04 | 45
84/100 | 1.47     | 1.88     | 0.961    | 1.37     | 0.83/0.15/0.02 | 24
85/100 | 1.54     | 2.41     | 0.954    | 1.55     | 0.77/0.21/0.02 | 52
86/100 | 0.92     | 0.73     | 0.979    | 0.85     | 0.73/0.24/0.03 | 47
87/100 | 1.47     | 1.91     | 0.933    | 1.38     | 0.69/0.20/0.11 | 44
88/100 | 0.50     | 0.30     | 0.992    | 0.55     | 0.61/0.35/0.04 | 46
89/100 | 1.31     | 1.39     | 0.968    | 1.18     | 0.32/0.41/0.27 | 46
90/100 | 3.60     | 9.20     | 0.818    | 3.03     | 0.42/0.35/0.23 | 46
91/100 | 0.98     | 0.65     | 0.986    | 0.81     | 0.45/0.30/0.25 | 46
92/100 | 1.54     | 1.72     | 0.964    | 1.31     | 0.54/0.26/0.20 | 44
93/100 | 2.98     | 6.16     | 0.876    | 2.48     | 0.53/0.28/0.19 | 63
94/100 | 2.25     | 4.86     | 0.905    | 2.21     | 0.53/0.34/0.12 | 43
95/100 | 1.70     | 2.24     | 0.954    | 1.50     | 0.38/0.29/0.32 | 42
96/100 | 0.36     | 0.12     | 0.997    | 0.35     | 0.76/0.21/0.03 | 66
97/100 | 0.99     | 0.92     | 0.976    | 0.96     | 0.44/0.37/0.19 | 57
98/100 | 1.06     | 0.97     | 0.973    | 0.99     | 0.37/0.42/0.22 | 47
99/100 | 1.27     | 1.27     | 0.964    | 1.12     | 0.48/0.40/0.13 | 44
100/100 | 1.14     | 1.23     | 0.965    | 1.11     | 0.51/0.25/0.24 | 17
----------------------------------------------------------------------------------------------------------------------------------
🏆 KẾT QUẢ TỔNG HỢP (HORIZON 1):
   - MAPE : 1.796% | R-squared (R2): 0.8161

📊 BẢNG CHI TIẾT:
 Mặt hàng MAPE (%)     R2    MSE   MAE  RMSE
     MG95    1.685 0.8066 2.7358 1.299 1.654
     MG92    1.546 0.7877 2.3453 1.172 1.531
DO 0.001%    2.072 0.8220 5.5868 1.846 2.364
 DO 0.05%    1.881 0.8042 4.8671 1.664 2.206
✅ Đã xuất 4 biểu đồ chuyên sâu vào thư mục: D:\1.Cong_Viec\NguyencuuKhoaHoc\oil_forecast_research_new\results/baseline_H1
